ProcessID,ProcessName,Department,ProcessOwnerEmployeeID,SupportingSystems,DataAssetsUsed,RelatedRisks,Criticality,LastReviewedDate
BP001,Customer Onboarding,Sales,EMP007,APP002;APP037,DA001;DA011,RSK001;RSK010,High,2026-01-20
BP002,Payroll Processing,HR,EMP004,APP003;APP007,DA002;DA003,RSK003;RSK012,Critical,2026-01-18
BP003,Financial Reporting,Finance,EMP013,APP001;APP006;APP029,DA004;DA024,RSK004;RSK005,Critical,2026-01-19
BP004,Vendor Management,Procurement,EMP020,APP008;APP010,DA022;DA005,RSK006;RSK014,High,2026-01-25
BP005,Incident Response,SOC,EMP008,APP022;APP043;APP044,DA007;DA018;DA023,RSK001;RSK016,Critical,2026-01-30
BP006,Access Provisioning,IT,EMP011,APP021;APP033;APP034,DA014;DA020,RSK007;RSK024,High,2026-01-27
BP007,Backup & Recovery,IT,EMP037,APP025;APP041;APP020,DA015;DA020,RSK008;RSK020,Critical,2026-01-21
BP008,Network Operations,IT,EMP018,APP021;APP017,DA019,RSK009;RSK023,High,2026-01-23
BP009,Marketing Campaign Execution,Marketing,EMP021,APP014;APP038,DA010,RSK017,Medium,2026-01-17
BP010,Customer Support Operations,IT,EMP011,APP004;APP005,DA009;DA028,RSK001;RSK010,High,2026-01-15
BP011,Board Governance,Executive,EMP010,APP015;APP016,DA012,RSK003,High,2026-01-12
BP012,Compliance Management,Compliance,EMP034,APP030;APP031,DA013;DA022,RSK013;RSK025,High,2026-01-28
BP013,Software Development Lifecycle,DevOps,EMP062,APP017;APP018;APP019,DA008;DA019,RSK019;RSK030,High,2026-01-29
BP014,Data Analytics & Reporting,Executive,EMP040,APP015;APP039,DA017;DA019,RSK017,Medium,2026-01-10
BP015,Legal Contract Review,Legal,EMP009,APP011;APP012,DA005;DA025,RSK006,Medium,2026-01-22
BP016,Inventory & Supply Chain Management,Operations,EMP031,APP035;APP036,DA026;DA027,RSK009,High,2026-01-20
BP017,Identity & Access Governance,IT,EMP015,APP006;APP021;APP040,DA014;DA020,RSK003;RSK024,Critical,2026-01-28
BP018,Security Monitoring,SOC,EMP039,APP022;APP023;APP024,DA007;DA023;DA030,RSK001;RSK028,Critical,2026-01-30
BP019,Customer Billing,Finance,EMP014,APP001;APP029,DA004;DA024,RSK004,High,2026-01-28
BP020,Training & Awareness,HR,EMP053,APP028;APP030,DA021,RSK001;RSK017,Medium,2026-01-29