ApplicationID,ApplicationName,BPDependencyScore,DataSensitivityScore,IncidentScore,VulnerabilityScore,SecurityFunctionScore,TotalScore,Criticality,RisksPresent
APP001,CoreBank,3,3,1,2,0,9,Critical,RSK004;RSK005;RSK039;RSK040;RSK037;RSK032
APP002,CRM360,2,2,0,0,0,4,Medium,RSK001;RSK010;RSK032;RSK041
APP003,HRPro,3,2,0,0,0,5,Medium,RSK003;RSK012;RSK031;RSK032;RSK041
APP004,TicketFlow,2,1,0,0,0,3,Medium,RSK001;RSK010
APP005,MailSecure,2,2,0,0,0,4,Medium,RSK001;RSK010;RSK041;RSK032
APP006,FinanceLedger,3,3,0,2,0,8,High,RSK004;RSK005;RSK039;RSK040;RSK037;RSK032
APP007,PayrollMaster,3,2,0,0,0,5,Medium,RSK003;RSK012;RSK031;RSK032;RSK041
APP008,VendorTrack,2,1,0,0,0,3,Medium,RSK006;RSK014
APP009,AuditTrail,0,2,0,0,0,2,Low,RSK013;RSK025
APP010,RiskManager,2,2,0,0,0,4,Medium,RSK013;RSK025
APP011,DocuSign,1,2,0,0,0,3,Medium,RSK006
APP012,ContractVault,1,2,0,0,0,3,Medium,RSK006
APP013,SalesBoost,0,1,0,0,0,1,Low,RSK017
APP014,MarketingHub,1,1,0,0,0,2,Low,RSK017
APP015,Analytics360,2,2,0,0,0,4,Medium,RSK017;RSK041
APP016,BoardPortal,2,3,0,0,0,5,Medium,RSK003;RSK032;RSK041
APP017,DevOpsPipeline,2,1,2,1,1,7,High,RSK019;RSK030;RSK037;RSK039
APP018,GitRepo,2,1,0,0,1,4,Medium,RSK019;RSK030
APP019,BuildServer,2,1,0,0,1,4,Medium,RSK019;RSK030
APP020,DatabaseAdmin,3,3,0,1,2,9,Critical,RSK008;RSK020;RSK040;RSK035;RSK041
APP021,NetworkMonitor,3,1,0,1,2,7,High,RSK009;RSK023;RSK034;RSK040
APP022,SIEMVision,3,3,2,1,2,11,Critical,RSK001;RSK028;RSK035;RSK038;RSK037;RSK033
APP023,ThreatIntel,3,2,1,0,2,8,High,RSK001;RSK028;RSK035
APP024,EndpointGuard,3,1,1,0,2,7,High,RSK035;RSK038
APP025,BackupVault,3,2,1,2,2,10,Critical,RSK008;RSK020;RSK040;RSK035;RSK041
APP026,CloudManager,0,1,1,1,1,4,Medium,RSK036;RSK034
APP027,TimeTracker,0,1,0,0,0,1,Low,RSK017
APP028,LearningPortal,1,1,0,0,0,2,Low,RSK017
APP029,ExpensePro,3,2,0,2,0,7,High,RSK004;RSK039;RSK040;RSK037
APP030,ComplianceSuite,2,2,0,0,0,4,Medium,RSK013;RSK025;RSK041
APP031,PolicyCenter,2,1,0,0,0,3,Medium,RSK013;RSK025
APP032,SecureShare,0,1,0,0,2,3,Medium,RSK041
APP033,VPNGateway,2,1,0,0,2,5,Medium,RSK031;RSK032;RSK033;RSK036
APP034,AssetTracker,2,1,0,0,0,3,Medium,RSK024
APP035,InventoryPlus,2,1,0,1,0,4,Medium,RSK009;RSK034;RSK039
APP036,OpsDashboard,2,1,0,0,0,3,Medium,RSK009;RSK034
APP037,CustomerPortal,2,2,1,0,0,5,Medium,RSK001;RSK010;RSK032;RSK041
APP038,WebAnalytics,1,1,0,0,1,3,Medium,RSK017
APP039,DataWarehouse,1,3,0,2,2,8,High,RSK004;RSK005;RSK039;RSK040;RSK037;RSK032
APP040,KeyManagementSystem,3,3,0,1,2,9,Critical,RSK036;RSK033;RSK041
APP041,EncryptionSuite,3,3,0,1,2,9,Critical,RSK036;RSK033;RSK041
APP042,LogArchive,0,2,0,0,2,4,Medium,RSK028;RSK037;RSK033
APP043,IncidentManager,3,2,1,0,2,8,High,RSK001;RSK016;RSK035;RSK038;RSK033
APP044,PhishSim,3,1,1,0,2,7,High,RSK001;RSK017
APP045,SecureChat,2,3,0,0,0,5,Medium,RSK003;RSK032;RSK041
APP046,MeetingHub,0,1,0,0,0,1,Low,RSK017
APP047,CloudStorage,0,1,0,0,0,1,Low,RSK041
APP048,HRAnalytics,0,2,0,0,0,2,Low,RSK003;RSK012
APP049,FinanceAnalytics,1,2,0,1,0,4,Medium,RSK004;RSK039;RSK040;RSK037
APP050,LegalReview,0,2,0,0,0,2,Low,RSK006