ServerID,ServerType,BPDependencyScore,DataSensitivityScore,IncidentScore,VulnerabilityScore,SecurityFunctionScore,TotalScore,Criticality,RisksPresent
SRV001,Application Server,3,3,0,2,0,8,High,RSK004;RSK005;RSK039;RSK040;RSK037;RSK032
SRV002,Application Server,3,3,0,0,0,6,High,RSK004;RSK005;RSK039;RSK040;RSK037;RSK032
SRV003,Web Server,2,1,1,0,0,4,Medium,RSK001;RSK010;RSK032;RSK041
SRV004,Domain Controller,2,2,0,1,2,7,High,RSK031;RSK032;RSK033;RSK036
SRV005,Compute Node,2,1,0,0,1,4,Medium,RSK019;RSK030;RSK037
SRV006,Compute Node,2,1,0,0,1,4,Medium,RSK019;RSK030;RSK037
SRV007,Compute Node,2,1,0,0,1,4,Medium,RSK019;RSK030;RSK037
SRV008,Database Server,3,3,0,2,0,8,High,RSK004;RSK005;RSK039;RSK040;RSK037;RSK032
SRV009,Database Server,3,3,0,2,0,8,High,RSK004;RSK005;RSK039;RSK040;RSK037;RSK032
SRV010,Application Server,2,1,0,0,1,4,Medium,RSK019;RSK030;RSK037
SRV011,File Server,1,2,0,1,0,4,Medium,RSK041
SRV012,File Server,1,2,0,1,0,4,Medium,RSK041
SRV013,File Server,1,2,0,1,0,4,Medium,RSK041
SRV014,File Server,1,2,0,1,0,4,Medium,RSK041
SRV015,Database Server,3,3,0,2,2,10,Critical,RSK028;RSK013;RSK025;RSK039;RSK040
SRV016,Database Server,2,3,0,2,2,9,Critical,RSK013;RSK025;RSK039;RSK040
SRV017,Database Server,3,3,0,2,0,8,High,RSK003;RSK012;RSK031;RSK032;RSK041
SRV018,Web Server,1,1,0,1,0,3,Medium,RSK017;RSK041
SRV019,Web Server,2,1,0,1,0,4,Medium,RSK006;RSK014;RSK041
SRV020,Backup Server,3,3,1,1,2,10,Critical,RSK008;RSK020;RSK040;RSK035;RSK041