VulnerabilityID,AssetID,Severity,CVE,Status,OwnerEmployeeID,SLADeadline,DiscoveryDate,LastUpdated
VUL001,SRV001,Critical,CVE-2024-12345,In Progress,EMP037,2026-02-15,2026-02-01,2026-02-02
VUL002,SRV008,Critical,CVE-2024-09876,Open,EMP071,2026-02-18,2026-02-01,2026-02-02
VUL003,SRV009,Critical,CVE-2024-11223,Open,EMP071,2026-02-18,2026-02-01,2026-02-02
VUL004,SRV015,Critical,CVE-2024-44556,In Progress,EMP071,2026-02-20,2026-02-02,2026-02-03
VUL005,SRV016,Critical,CVE-2024-44556,In Progress,EMP071,2026-02-20,2026-02-02,2026-02-03
VUL006,SRV017,Critical,CVE-2024-44556,In Progress,EMP071,2026-02-20,2026-02-02,2026-02-03
VUL007,VM002,High,CVE-2025-22334,Open,EMP072,2026-02-12,2026-02-01,2026-02-02
VUL008,VM005,High,CVE-2025-22334,Open,EMP072,2026-02-12,2026-02-01,2026-02-02
VUL009,VM010,High,CVE-2025-22334,Open,EMP072,2026-02-12,2026-02-01,2026-02-02
VUL010,SRV004,High,CVE-2024-55678,Mitigated,EMP037,2026-01-30,2026-01-25,2026-01-28
VUL011,SRV018,High,CVE-2024-55678,Mitigated,EMP037,2026-01-30,2026-01-25,2026-01-28
VUL012,SRV019,High,CVE-2024-55678,Mitigated,EMP037,2026-01-30,2026-01-25,2026-01-28
VUL013,SRV020,High,CVE-2024-55678,Mitigated,EMP037,2026-01-30,2026-01-25,2026-01-28
VUL014,NET001,High,CVE-2024-77889,In Progress,EMP018,2026-02-14,2026-02-01,2026-02-02
VUL015,NET019,High,CVE-2024-77889,In Progress,EMP018,2026-02-14,2026-02-01,2026-02-02
VUL016,NET020,High,CVE-2024-77889,In Progress,EMP018,2026-02-14,2026-02-01,2026-02-02
VUL017,LAP036,High,CVE-2025-33445,Mitigated,EMP037,2026-01-29,2026-01-20,2026-01-25
VUL018,LAP037,High,CVE-2025-33445,Mitigated,EMP038,2026-01-29,2026-01-20,2026-01-25
VUL019,LAP038,High,CVE-2025-33445,Mitigated,EMP039,2026-01-29,2026-01-20,2026-01-25
VUL020,LAP088,High,CVE-2025-33445,Mitigated,EMP089,2026-01-29,2026-01-20,2026-01-25
VUL021,VM003,Medium,CVE-2024-66789,Open,EMP062,2026-03-01,2026-02-01,2026-02-02
VUL022,VM004,Medium,CVE-2024-66789,Open,EMP062,2026-03-01,2026-02-01,2026-02-02
VUL023,VM006,Medium,CVE-2024-66789,Open,EMP062,2026-03-01,2026-02-01,2026-02-02
VUL024,VM007,Medium,CVE-2024-66789,Open,EMP062,2026-03-01,2026-02-01,2026-02-02
VUL025,VM008,Medium,CVE-2024-66789,Open,EMP062,2026-03-01,2026-02-01,2026-02-02
VUL026,VM009,Medium,CVE-2024-66789,Open,EMP062,2026-03-01,2026-02-01,2026-02-02
VUL027,SRV011,Medium,CVE-2024-99887,Mitigated,EMP060,2026-02-10,2026-01-20,2026-01-25
VUL028,SRV012,Medium,CVE-2024-99887,Mitigated,EMP060,2026-02-10,2026-01-20,2026-01-25
VUL029,SRV013,Medium,CVE-2024-99887,Mitigated,EMP060,2026-02-10,2026-01-20,2026-01-25
VUL030,SRV014,Medium,CVE-2024-99887,Mitigated,EMP060,2026-02-10,2026-01-20,2026-01-25
VUL031,LAP001,Medium,CVE-2025-11223,Mitigated,EMP011,2026-02-05,2026-01-15,2026-01-20
VUL032,LAP002,Medium,CVE-2025-11223,Mitigated,EMP011,2026-02-05,2026-01-15,2026-01-20
VUL033,LAP003,Medium,CVE-2025-11223,Mitigated,EMP011,2026-02-05,2026-01-15,2026-01-20
VUL034,LAP004,Medium,CVE-2025-11223,Mitigated,EMP011,2026-02-05,2026-01-15,2026-01-20
VUL035,LAP005,Medium,CVE-2025-11223,Mitigated,EMP011,2026-02-05,2026-01-15,2026-01-20
VUL036,LAP006,Medium,CVE-2025-11223,Mitigated,EMP011,2026-02-05,2026-01-15,2026-01-20
VUL037,LAP007,Low,CVE-2024-44512,Mitigated,EMP011,2026-03-15,2026-01-10,2026-01-12
VUL038,LAP008,Low,CVE-2024-44512,Mitigated,EMP011,2026-03-15,2026-01-10,2026-01-12
VUL039,LAP009,Low,CVE-2024-44512,Mitigated,EMP011,2026-03-15,2026-01-10,2026-01-12
VUL040,LAP010,Low,CVE-2024-44512,Mitigated,EMP011,2026-03-15,2026-01-10,2026-01-12